"annee","nom_com","code_commune","nom_departement","code_departement","nom_region","code_region","domaine_de_tension","prod_photovoltaïque_enedis_(mwh)","prod_eolien_enedis_(mwh)","prod_hydraulique_enedis_(mwh)","prod_bio_energie_enedis_(mwh)","prod_cogeneration_enedis_(mwh)","prod_autres_filieres_enedis_(mwh)","nom_commune"
"2015","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","HTA",4446.957,NA,1036.884,15204.525,22014.9456666667,NA,"Aix-En-Provence (13)"
"2013","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT <= 36 kVA",1269.90486005643,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
"2013","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT > 36 kVA",4118.16027690598,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
"2012","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","HTA",1077.565,NA,1038.153,19414.51,4496.03535715847,NA,"Aix-En-Provence (13)"
"2014","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","HTA",4451.831,NA,1034.986,16158.436,22091.3396666667,NA,"Aix-En-Provence (13)"
"2014","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT > 36 kVA",4087.45419206689,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
"2011","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT <= 36 kVA",843.801736089965,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
"2011","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","HTA",190.09740896134,NA,1017.174,20850.18,11227.40695,NA,"Aix-En-Provence (13)"
"2011","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT > 36 kVA",1454.26018154664,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
"2017","Aix-En-Provence","13001","Bouches-Du-Rhône","13","Provence-Alpes-Côte D'azur","93","BT > 36 kVA",5000.03,NA,NA,NA,NA,NA,"Aix-En-Provence (13)"
