"annee" "nom_region" "code_region" "domaine_de_tension" "prod_photovoltaïque_enedis_(mwh)" "prod_eolien_enedis_(mwh)" "prod_hydraulique_enedis_(mwh)" "prod_bio_energie_enedis_(mwh)" "prod_cogeneration_enedis_(mwh)" "prod_autres_filieres_enedis_(mwh)"
"2020" "Pays De La Loire" "52" "BT <= 36 kVA" 205609.66371396 28.9023443402925 NA NA NA 742.615424458388
"2020" "Bretagne" "53" "HTA" 37586.029077549 2258314.21683335 21081.4291666667 363245.892988 831225.3546665 554.364666666667
"2020" "Bourgogne-Franche-Comté" "27" "BT > 36 kVA" 88549.9067886729 NA 13487.6140040339 42076.0758553333 NA NA
"2020" "Occitanie" "76" "BT > 36 kVA" 804741.305556205 NA 32747.5962076821 11524.3746666667 NA NA
"2020" "Bourgogne-Franche-Comté" "27" "BT <= 36 kVA" 90270.0774971783 NA NA NA NA 1193.79259042361
"2020" "Occitanie" "76" "BT <= 36 kVA" 320348.557851652 24.538251919832 NA NA NA 1320.21792133483
"2011" "Pays De La Loire" "52" "HTA" 7433.42603655704 703318.894637092 10065.1093476619 190073.278924271 406570.037559167 26156.747
"2011" "Normandie" "28" "HTA" 817.123733021077 828798.579154322 100929.285737181 85532.434745 461346.559 263.060999835337
"2011" "Île-De-France" "11" "BT <= 36 kVA" 20355.8906279354 NA NA NA NA NA
"2011" "Normandie" "28" "BT <= 36 kVA" 29737.8801107489 NA NA NA NA NA
"2011" "Auvergne-Rhône-Alpes" "84" "BT > 36 kVA" 56205.5188021786 NA 7609.48614633132 5077.16788320131 1518.055 NA
"2011" "Pays De La Loire" "52" "BT <= 36 kVA" 110211.696426395 12.4476586473349 NA NA NA NA
"2011" "Centre-Val De Loire" "24" "BT <= 36 kVA" 22219.6691211566 NA NA NA NA NA
"2011" "Centre-Val De Loire" "24" "BT > 36 kVA" 23847.815689774 123.02 239.619414568832 5798.53063684895 832.017 NA
"2012" "Bourgogne-Franche-Comté" "27" "BT > 36 kVA" 30078.4862934395 NA 9599.33245580129 4408.03969568256 NA NA
"2012" "Hauts-De-France" "32" "HTA" 28452.640605 2630013.10044768 3416.80525372521 354667.246052596 708255.024942609 391.507
"2012" "Île-De-France" "11" "BT <= 36 kVA" 25418.7981516241 NA NA NA NA NA
"2012" "Bourgogne-Franche-Comté" "27" "BT <= 36 kVA" 41731.7183605893 NA NA NA NA NA
"2012" "Grand-Est" "44" "BT <= 36 kVA" 55153.5436212397 NA NA NA NA NA
"2012" "Île-De-France" "11" "HTA" 17245.4678261402 41163.422 46507.175 696952.8964905 1084747.62104652 6.71071902361369
"2012" "Normandie" "28" "HTA" 21389.3977421855 947994.343862964 131437.052667338 90575.6000076655 429739.994817568 676.318
"2012" "Pays De La Loire" "52" "BT > 36 kVA" 111149.138569398 NA 1937.04666664256 1725.56810946362 613.471 NA
"2012" "Pays De La Loire" "52" "BT <= 36 kVA" 128679.023981569 29.0397942989252 NA NA NA NA
"2013" "Nouvelle-Aquitaine" "75" "BT <= 36 kVA" 138737.502347244 NA NA NA NA NA
"2014" "Provence-Alpes-Côte D'azur" "93" "BT <= 36 kVA" 138330.992620857 NA NA NA NA NA
"2014" "Normandie" "28" "BT <= 36 kVA" 47717.4143398113 NA NA NA NA NA
"2014" "Nouvelle-Aquitaine" "75" "BT > 36 kVA" 293146.550837341 NA 9058.60024925239 6017.69469776286 NA NA
"2014" "Centre-Val De Loire" "24" "BT > 36 kVA" 56655.8030928577 251.81 495.463130849911 11065.741 841.289 NA
"2015" "Provence-Alpes-Côte D'azur" "93" "BT <= 36 kVA" 145041.875580715 NA NA NA NA NA
"2015" "Hauts-De-France" "32" "BT > 36 kVA" 33373.7633889584 372.881 1417.71831928996 9260.12398582715 816.042 NA
